"object_type","schema_name","object_name","column_name","data_type","is_nullable","related_object_name","description"
"UNIQUE_CONSTRAINT","public","conversation_participants","conversation_id","null","null","null","conversation_participants_conversation_id_user_id_key"
"UNIQUE_CONSTRAINT","public","conversation_participants","user_id","null","null","null","conversation_participants_conversation_id_user_id_key"
"UNIQUE_CONSTRAINT","public","conversation_participants","user_id","null","null","null","conversation_participants_conversation_id_user_id_key"
"UNIQUE_CONSTRAINT","public","friendships","friend_id","null","null","null","friendships_user_id_friend_id_key"
"UNIQUE_CONSTRAINT","public","friendships","friend_id","null","null","null","friendships_user_id_friend_id_key"
"UNIQUE_CONSTRAINT","public","friendships","user_id","null","null","null","friendships_user_id_friend_id_key"
"UNIQUE_CONSTRAINT","public","friendships","user_id","null","null","null","friendships_user_id_friend_id_key"
"UNIQUE_CONSTRAINT","public","group_members","group_id","null","null","null","group_members_group_id_user_id_key"
"UNIQUE_CONSTRAINT","public","group_members","group_id","null","null","null","group_members_group_id_user_id_key"
"UNIQUE_CONSTRAINT","public","group_members","user_id","null","null","null","group_members_group_id_user_id_key"
"UNIQUE_CONSTRAINT","public","group_members","user_id","null","null","null","group_members_group_id_user_id_key"
"UNIQUE_CONSTRAINT","public","likes","comment_id","null","null","null","likes_user_id_post_id_comment_id_key"
"UNIQUE_CONSTRAINT","public","likes","comment_id","null","null","null","likes_user_id_post_id_comment_id_key"
"UNIQUE_CONSTRAINT","public","likes","comment_id","null","null","null","likes_user_id_post_id_comment_id_key"
"UNIQUE_CONSTRAINT","public","likes","post_id","null","null","null","likes_user_id_post_id_comment_id_key"
"UNIQUE_CONSTRAINT","public","likes","post_id","null","null","null","likes_user_id_post_id_comment_id_key"
"UNIQUE_CONSTRAINT","public","likes","post_id","null","null","null","likes_user_id_post_id_comment_id_key"
"UNIQUE_CONSTRAINT","public","likes","user_id","null","null","null","likes_user_id_post_id_comment_id_key"
"UNIQUE_CONSTRAINT","public","likes","user_id","null","null","null","likes_user_id_post_id_comment_id_key"
"UNIQUE_CONSTRAINT","public","likes","user_id","null","null","null","likes_user_id_post_id_comment_id_key"
"UNIQUE_CONSTRAINT","public","users","email","null","null","null","users_email_key"
"UNIQUE_CONSTRAINT","public","users","username","null","null","null","users_username_key"
"UNIQUE_CONSTRAINT","storage","migrations","name","null","null","null","migrations_name_key"
